P08181	P13097
P13096	P08181
P13098	P08181
Q24152	P00546
Q24152	Q00526
P91654	Q00526
Q24159	P23573
P23572	Q24158
Q24152	P23572
P23572	P54733
P23573	P91654
Q24158	P23573
P23573	Q24152
Q24159	Q24152
P14599	Q9W0K0
Q9VX41	P14599
P14599	Q9VWQ2
Q9W0K0	P14599
Q9W0K0	P14599
P14599	Q9W0K0
P14599	Q9W0K0
Q9W0K0	Q9W0K0
P46824	Q9W0K0
Q23977	Q9W0K0
P14599	Q9ERE9
P14599	Q9VX41
Q9W0G1-2	Q24218
Q9W0G1	Q24218
Q24218	O44924
Q24218	Q9VI13
Q9VI13	P40792
Q9VI13	P48554
O44924	Q24218
Q24218	O44924
O44924	Q24218
O44924	Q9VI13
O44924	Q24218
O44924	O44924
O96757	Q9VRM3
O96757	O96757
O96757	Q02870
O96757	Q7KNM2
O96757	Q07407
O96757	Q00963
O96757	Q05192
O96757	Q95RF1
O96757	Q95RF1
O96757	Q9VRM3
O96757	O96757
O96757	Q02870
O96757	Q7KNM2
O96757	Q07407
O96757	Q00963
O96757	Q05192
O96757	Q27598
O96757	Q9VYG2
O96757	P11147
O96757	Q9VHM6
O96757	Q7KMH9
A1Z7P5	O96757
O96757	Q9VIV3
O96757	Q9VJ14
O96757	Q95RF1
O96757	Q9VRM3
O96757	O96757
O96757	EBI-75303
O96757	Q9VRJ2
O96757	EBI-75303
O96757	Q9VRJ2
O96757	A1Z6E0
O96757	Q9W4V8
O96757	O46087
Q9VIE8	O96757
O96757	EBI-75303
O96757	Q02870
O96757	Q9VRJ2
O96757	Q7KNM2
O96757	Q07407
O96757	Q27598
O96757	A1Z6E0
O96757	Q9VYG2
O96757	P11147
O96757	Q9VHM6
O96757	Q9W4V8
O96757	Q7KMH9
O96757	P50535
O96757	Q8WQ61
O96757	Q9VAC1
O96757	Q9VVR1
Q9XZU7	O96757
O96757	Q59E36
O96757	Q9VYT7
O96757	Q9VKF0
Q8IN89	O96757
O96757	A1Z9I5
O96757	Q95RF1
O96757	Q9VRM3
O96757	EBI-75303
O96757	O96757
O96757	Q02870
O96757	Q9VRJ2
Q05192	O96757
O96757	Q27598
O96757	A1Z6E0
O96757	Q9VYG2
O96757	P11147
O96757	Q9VIE8
O96757	Q9VIV3
O96757	Q9VJ14
Q8WQ61	O96757
O96757	Q9VTX5
O96757	Q9XZU7
O96757	Q9VKF0
Q9W279	O96757
O96757	Q8IN89
Q9VWG3	O96757
O96757	Q9VWG3
O96757	Q9VWG3
O96757	Q07407
Q07407	O96757
O96757	Q07407
O96757	Q09147
O96757	O96757
Q9VWF4	O96757
O96757	Q9VWF4
Q9VI13	P40792
P40793	Q9VXE5
P21461	Q27934
P42282	P21461
P21461	P21461
Q27934	P42282
P42282	Q27934
P42282	P21461
Q27934	P42282
Q27934	P21461
P42282	Q27934
EBI-87512	P14734
Q9VAN0	P14734
P08182	P14734
Q9VAA1	P14734
Q7PLP5	P14734
P14734	Q8IQI1
Q01644	P14734
Q01642	P14734
Q9GSR1	P14734
EBI-140442	P14734
Q9VJM1	P14734
Q6NN85	P14734
Q7JXC4	P14734
Q9VSH8	P14734
Q9W5X1	P14734
Q9VGF5	Q7JY97
Q9W5S7	Q9VGF5
Q9VGF5	Q86B87
Q9VAU9	P39768
Q9VAU9	Q5BI51
Q9VAU9	Q9VR87
Q9VAU9	Q9VBJ9
Q9VAU9	Q9V9V8
Q9VAU9	Q9W4I5
Q9VAU9	Q9VE69
Q9VAU9	EBI-180086
Q9VAU9	Q24216
Q9VAU9	Q9VUK7
Q9VAU9	Q9VN04
Q9VGC1	Q9VM98
P62152	Q9VGC1
Q9VGC1	P23757
Q9VR05	Q9VQS6
Q7JUN3	Q9VQS6
Q9VWP7	Q9VQS6
Q24564	EBI-100834
Q9VNF6	EBI-100834
Q9VJN5	EBI-100834
Q9VKM6	EBI-100834
Q9VV44	EBI-100834
O18404	EBI-100834
Q94901	EBI-100834
Q9VQU7	Q9VH19
Q9VQU9	P09081-3
Q9VQU9	Q9V4Z9
Q9VQU9	Q9VRC9
Q9VQU9	Q9VWI0
O46085	Q9VQU9
Q0E917	Q9VG03
Q0E917	Q9W483
Q0E917	P52295
M9PBE2	EBI-87512
EBI-87512	Q24558
EBI-87512	P09081-3
Q9VTZ0	EBI-87512
P24156	EBI-87512
EBI-87512	P23023-1
EBI-87512	P39768
EBI-87512	Q9VNV0
EBI-87512	Q9VR87
EBI-87512	EBI-127547
Q7JWN2	EBI-87512
Q9W219	EBI-87512
EBI-87512	Q9VC50
EBI-87512	Q9VCT6
EBI-87512	P27398
EBI-87512	Q9VVW9
EBI-87512	Q9VWG6
Q8IN81-10	EBI-87512
EBI-172473	EBI-87512
EBI-87512	EBI-105310
EBI-87512	Q9W4B3
A1Z971	EBI-87512
Q9W5R8	EBI-87512
P05031	EBI-87512
O77150	EBI-87512
EBI-87512	A1Z6W6
P06603	EBI-87512
Q9VA73-1	EBI-87512
Q29R09	EBI-87512
EBI-87512	Q9W4I6
EBI-87512	Q9VD05
Q961G6	EBI-87512
Q7KT85	EBI-87512
EBI-87512	Q8IRR5
Q9W3W8	EBI-87512
EBI-87512	Q9VUD3
EBI-111324	EBI-87512
EBI-87512	EBI-111324
EBI-87512	Q9W2P8
EBI-87512	Q9VPT8
EBI-87512	Q9VLA2
EBI-87512	Q9VH19
EBI-87512	EBI-90944
EBI-87512	P11450
EBI-87512	P11455
Q9VYI4	EBI-87512
EBI-87512	Q9V3M9
EBI-87512	EBI-197069
EBI-87512	Q8IQB8
Q9VXA5	EBI-87512
O16797-1	EBI-87512
EBI-87512	Q9VDJ8
EBI-87512	Q9VL69
Q9W436	EBI-87512
EBI-87512	Q9VB62
EBI-87512	P22807
EBI-87512	Q9VT69
Q8MLY8	EBI-87512
EBI-87512	Q9VH62
Q9XTN4	EBI-87512
Q8MRL3	EBI-87512
P23654	EBI-87512
Q03043	Q9VYX5
Q867Z4	Q03043
Q03043	Q9W3D6
Q24564	Q03043
Q03043	P05812
Q06559	Q03043
O18640	Q03043
Q03043	Q9VX24
Q9VXH7	Q03043
Q9VIW0	Q9VIW0
Q7JZN0	Q9VIW0
Q9VIU7	Q9VIW0
Q05825	Q9VIW0
P29503-3	Q9VIW0
Q9W135	Q9VIW0
P27398	Q9VIW0
Q9VIW0	Q9VVW9
P38979	Q9VIW0
Q9VIW0	Q9VJB0
Q9VIW0	P08182
Q8IQI1	Q9VIW0
P48149	Q9VIW0
Q9W3L4	Q9VIW0
Q9VIW0	Q9VWB0
Q9W0L7	Q9VIW0
Q9VJU8	Q9VIW0
Q8T8R1	Q9VIW0
P23803	Q9VIW0
Q9VIW0	Q9W3Z5
Q9VIW0	O16797-1
Q9VJM1	Q9VIW0
Q9VSP9	Q9VIW0
Q9VIW0	Q8IQB4
Q9VKC5	Q9VIW0
Q7JZW2	Q9VIW0
Q9VIW0	P13097
