ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:P49187	uniprotkb:P29067	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P63102	uniprotkb:Q61084	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:E9PSY8	uniprotkb:Q9WVE9	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P43254	uniprotkb:Q96288-1	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P43254	uniprotkb:Q9SID1	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P43254	uniprotkb:O24646	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q96288-1	uniprotkb:P43254	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SID1	uniprotkb:P43254	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9SID1	uniprotkb:P43254	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P43254	uniprotkb:O24646	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:P43254	uniprotkb:O24646	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:P18576	uniprotkb:Q01714	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q01714	uniprotkb:P18576	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P63086	uniprotkb:O08605	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.53
uniprotkb:P62961	uniprotkb:Q61990	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9ET33	uniprotkb:Q61990	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O35867	uniprotkb:P19814	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
