human	bakers	score
P49591	P07284	0.13519278096800658
Q9NP81	P07284	0.05118949958982773
P07900	P15108	0.22378999179655457
P08238	P15108	0.22346185397867105
P14625	P15108	0.19278096800656275
Q58FF6	P15108	0.13519278096800658
Q14568	P15108	0.1258408531583265
Q58FF7	P15108	0.1276456111566858
Q58FF7	P15108	0.09909762100082034
Q58FF7	P15108	0.1007383100902379
Q58FF7	P15108	0.07219031993437244
Q58FF3	P15108	0.08843314191960623
Q12931	P15108	0.0726825266611977
Q12931	P15108	0.06529942575881871
Q12931	P15108	0.06546349466776046
Q12931	P15108	0.05808039376538146
Q58FG1	P15108	0.04626743232157506
Q58FG1	P15108	0.04626743232157506
Q58FG1	P15108	0.04626743232157506
Q58FG1	P15108	0.04626743232157506
Q58FG1	P15108	0.04626743232157506
Q58FG1	P15108	0.04626743232157506
Q58FG1	P15108	0.045283018867924525
Q58FG1	P15108	0.045283018867924525
Q58FG1	P15108	0.045283018867924525
Q58FF8	P15108	0.04593929450369155
Q58FF8	P15108	0.04232977850697293
Q58FF8	P15108	0.03803117309269893
Q58FF8	P15108	0.04265791632485644
Q58FF8	P15108	0.03904840032813782
Q58FF8	P15108	0.034749794913863825
Q58FF8	P15108	0.04150943396226415
Q58FF8	P15108	0.03789991796554553
Q58FF8	P15108	0.03360131255127154
Q58FG0	P15108	0.03642329778506973
Q58FG0	P15108	0.033305988515176375
Q9BY44	P53235	0.0638228055783429
O14647	P32657	0.23527481542247744
O14646	P32657	0.2339622641509434
Q8TD26	P32657	0.16357670221493026
Q12873	P32657	0.16702214930270715
Q8TDI0	P32657	0.16292042657916325
Q9HCK8	P32657	0.16357670221493026
Q9P2D1	P32657	0.15668580803937654
Q14839	P32657	0.16062346185397866
P28370	P32657	0.15258408531583265
Q3L8U1	P32657	0.15799835931091058
O60264	P32657	0.14897456931911401
P51531	P32657	0.13831009023789992
Q86WJ1	P32657	0.13125512715340443
P51532	P32657	0.13601312551271533
Q9H4L7	P32657	0.1018867924528302
Q03468	P32657	0.09220672682526661
O14981	P32657	0.08055783429040198
Q5T890	P32657	0.07694831829368334
Q9Y620	P32657	0.07481542247744052
Q2NKX8	P32657	0.07284659557013946
Q6ZRS2	P32657	0.07301066447908121
Q6ZRS2	P32657	0.06333059885151764
Q6ZRS2	P32657	0.06251025430680886
Q6ZRS2	P32657	0.052830188679245285
Q92698	P32657	0.07153404429860541
Q9ULG1	P32657	0.07005742411812961
Q9ULG1	P32657	0.06447908121410993
Q9ULG1	P32657	0.06398687448728466
Q9ULG1	P32657	0.05840853158326497
Q9NRZ9	P32657	0.06677604593929451
Q9NRZ9	P32657	0.06628383921246923
Q9NRZ9	P32657	0.06611977030352748
Q9NRZ9	P32657	0.06562756357670221
Q96L91	P32657	0.06037735849056604
Q96L91	P32657	0.04954881050041017
Q96L91	P32657	0.04889253486464315
Q96L91	P32657	0.03806398687448728
Q9NZC9	P32657	0.04085315832649713
Q9Y4B4	P32657	0.045118949958982774
Q9Y4B4	P32657	0.038654634946677605
Q5FWF4	P32657	0.03757178014766202
P46100	P32657	0.03789991796554553
Q14527	P32657	0.0324856439704676
Q14527	P32657	0.02881050041017227
Q14527	P32657	0.028876127973748975
Q14527	P32657	0.02520098441345365
Q9UNY4	P32657	0.02926989335520919
Q9UNY4	P32657	0.025857260049220676
Q9UNY4	P32657	0.0259064807219032
Q9UNY4	P32657	0.02249384741591469
Q96KN3	P53147	0.025463494667760458
A6NDR6	P53147	0.024150943396226414
P55347	P53147	0.024889253486464313
Q9GZN2	P53147	0.023757178014766202
Q15583	P53147	0.023314191960623464
O14770	P53147	0.023560295324036095
O00470	P53147	0.023822805578342904
Q8IUE1	P53147	0.021361771944216568
Q8IUE0	P53147	0.020836751435602954
P78412	P53147	0.02041017227235439
Q92979	Q06287	0.07678424938474158
Q8IZ73	P53294	0.06333059885151764
Q96CM3	P53294	0.026841673502871206
