human	rat	score
A0A0B4J2A2	P10111	0.02735533237685318
A0A0B4J2A2	P24368	0.017599234815877572
A0A0B4J2A2	P29117	0.02295552367288379
A0A0B4J2D5	P56571	0.045050215208034435
A0A0B4J2F0	C0HLN0	0.008254423720707796
A0A0B4J2F2	D3ZML2	0.028359636537541845
A0A0B4J2F2	D4AE59	0.013486370157819226
A0A0B4J2F2	E9PSL7	0.008971783835485414
A0A0B4J2F2	F1LP90	0.008823529411764706
A0A0B4J2F2	F1M0Z1	0.01209947393591583
A0A0B4J2F2	F1M7Y5	0.013486370157819226
A0A0B4J2F2	O08679	0.036250597800095645
A0A0B4J2F2	O08815	0.009076996652319464
A0A0B4J2F2	O08875	0.016977522716403636
A0A0B4J2F2	O54874	0.010712577714012433
A0A0B4J2F2	O88506	0.010521281683405069
A0A0B4J2F2	O88764	0.016164514586322332
A0A0B4J2F2	P05696	0.0125298900047824
A0A0B4J2F2	P08413	0.014873266379722621
A0A0B4J2F2	P09216	0.013629842180774749
A0A0B4J2F2	P09217	0.013247250119560018
A0A0B4J2F2	P0C1X8	0.007551410808225728
A0A0B4J2F2	P11275	0.014586322333811573
A0A0B4J2F2	P11345	0.008101386896221903
A0A0B4J2F2	P11730	0.01525585844093735
A0A0B4J2F2	P15791	0.014777618364418939
A0A0B4J2F2	P18265	0.009335246293639406
A0A0B4J2F2	P19139	0.007369679579148732
A0A0B4J2F2	P21708	0.00817790530846485
A0A0B4J2F2	P27791	0.015734098517455764
A0A0B4J2F2	P32577	0.00817790530846485
A0A0B4J2F2	P35465	0.010043041606886656
A0A0B4J2F2	P35739	0.00692491630798661
A0A0B4J2F2	P36506	0.008933524629363941
A0A0B4J2F2	P47196	0.01444285031085605
A0A0B4J2F2	P49185	0.008359636537541846
A0A0B4J2F2	P49186	0.008565279770444764
A0A0B4J2F2	P49187	0.008326159732185558
A0A0B4J2F2	P54645	0.027594452415112387
A0A0B4J2F2	P63086	0.007771401243424199
A0A0B4J2F2	P63319	0.011621233859397418
A0A0B4J2F2	P67999	0.011286465805834528
A0A0B4J2F2	P68182	0.015973218555714968
A0A0B4J2F2	P68403	0.011669057867049259
A0A0B4J2F2	P70600	0.007441415590626495
