fly	bakers	score
A0A0B4K7J2	P32499	0.033222748815165876
A0A0B4K7J2	P40517	0.03303317535545023
A0A0B4K7J2	P41920	0.04446090047393364
A1Z6J5	P39937	0.04199052132701422
A1Z6K7	Q08723	0.032132701421800955
A1Z6M6	P33313	0.04308056872037915
A1Z7A6	P35197	0.032582938388625596
A1Z7A6	P38682	0.03478672985781991
A1Z7A6	P40529	0.03478672985781991
A1Z7A6	Q04412	0.042890995260663506
A1Z7K9	P53010	0.08376777251184835
A1Z7T0	P05986	0.11184834123222749
A1Z7T0	P06242	0.03203791469194313
A1Z7T0	P06244	0.11090047393364928
A1Z7T0	P06245	0.10758293838862559
A1Z7T0	P06782	0.061611374407582936
A1Z7T0	P06784	0.03485781990521328
A1Z7T0	P08018	0.04372037914691943
A1Z7T0	P08458	0.04898104265402843
A1Z7T0	P11792	0.11208530805687204
A1Z7T0	P12688	0.11469194312796209
A1Z7T0	P13185	0.05900473933649289
A1Z7T0	P13186	0.06042654028436019
A1Z7T0	P14680	0.03495260663507109
A1Z7T0	P17157	0.041611374407582946
A1Z7T0	P18961	0.11042654028436019
A1Z7T0	P22204	0.05971563981042654
A1Z7T0	P22216	0.04843601895734597
A1Z7T0	P22517	0.043696682464454975
A1Z7T0	P23561	0.040260663507109
A1Z7T0	P24583	0.17274881516587678
A1Z7T0	P24719	0.03950236966824644
A1Z7T0	P25333	0.040426540284360185
A1Z7T0	P25341	0.10165876777251184
A1Z7T0	P25389	0.04727488151658768
A1Z7T0	P25390	0.04023696682464455
A1Z7T0	P27466	0.03850710900473934
A1Z7T0	P27636	0.0395260663507109
A1Z7T0	P28708	0.03457345971563981
A1Z7T0	P31374	0.03914691943127962
A1Z7T0	P32328	0.05947867298578199
A1Z7T0	P32485	0.03203791469194313
A1Z7T0	P32490	0.038981042654028436
A1Z7T0	P32491	0.04135071090047393
A1Z7T0	P32562	0.06042654028436019
A1Z7T0	P34244	0.04590047393364929
A1Z7T0	P38070	0.06872037914691943
A1Z7T0	P38147	0.04355450236966825
A1Z7T0	P38622	0.03431279620853081
A1Z7T0	P38623	0.033222748815165876
A1Z7T0	P38692	0.04684834123222749
A1Z7T0	P38990	0.04734597156398104
A1Z7T0	P38991	0.05758293838862559
A1Z7T0	P39009	0.04447867298578199
A1Z7T0	P43565	0.04610189573459716
A1Z7T0	P43637	0.05071090047393365
A1Z7T0	P48562	0.05080568720379147
A1Z7T0	P53104	0.048649289099526066
A1Z7T0	P53599	0.039620853080568716
A1Z7T0	P53739	0.10545023696682465
A1Z7T0	P53894	0.07369668246445497
A1Z7T0	Q01389	0.04300947867298578
A1Z7T0	Q01919	0.057345971563981045
A1Z7T0	Q03002	0.055213270142180096
A1Z7T0	Q03306	0.055924170616113746
A1Z7T0	Q03407	0.058056872037914695
A1Z7T0	Q03497	0.04950236966824645
A1Z7T0	Q03957	0.03815165876777251
A1Z7T0	Q08217	0.04151658767772511
A1Z7T0	Q12152	0.054502369668246446
A1Z7T0	Q12236	0.06611374407582939
A1Z7T0	Q12263	0.05056872037914692
A1Z7T0	Q12469	0.04969194312796208
A1Z897	Q08230	0.045450236966824646
A1Z8D0	P21304	0.08388625592417062
A1Z8J0	P53255	0.052132701421800945
A1Z8N1	P10870	0.06113744075829384
A1Z8N1	P13181	0.0485781990521327
A1Z8N1	P30605	0.06540284360189573
A1Z8N1	P30606	0.06895734597156399
A1Z8N1	P32465	0.04535545023696683
A1Z8N1	P32466	0.04734597156398104
A1Z8N1	P32467	0.05004739336492891
A1Z8N1	P38142	0.06445497630331753
A1Z8N1	P38156	0.035971563981042655
A1Z8N1	P38695	0.0523696682464455
A1Z8N1	P39003	0.054502369668246446
A1Z8N1	P39004	0.054502369668246446
A1Z8N1	P39924	0.05639810426540284
A1Z8N1	P39932	0.053554502369668244
A1Z8N1	P40441	0.04447867298578199
A1Z8N1	P42833	0.043246445497630334
A1Z8N1	P43581	0.04533175355450237
A1Z8N1	P47185	0.055924170616113746
A1Z8N1	P53142	0.038981042654028436
A1Z8N1	P53631	0.055924170616113746
A1Z8N1	P54854	0.05687203791469194
A1Z8N1	P54862	0.0518957345971564
A1Z8N1	Q12300	0.05687203791469194
A1Z9G2	Q04048	0.0962085308056872
A1Z9L3	P15938	0.2990521327014218
A1Z9L3	P20095	0.28104265402843603
A1Z9L3	P24384	0.4552132701421801
A1Z9L3	P36009	0.22677725118483413
A1Z9L3	P53131	0.31540284360189574
A1Z9L3	Q04217	0.09206161137440759
A1Z9L3	Q06698	0.12890995260663507
A1Z9R4	P41696	0.039976303317535544
A1Z9R4	P47043	0.04131516587677725
A1Z9X0	P00546	0.031563981042654024
A1Z9X0	P05986	0.10568720379146919
A1Z9X0	P06242	0.033412322274881515
A1Z9X0	P06244	0.10781990521327015
A1Z9X0	P06245	0.10213270142180095
A1Z9X0	P06782	0.06303317535545024
A1Z9X0	P06784	0.03786729857819905
A1Z9X0	P08458	0.054502369668246446
A1Z9X0	P11792	0.12582938388625592
A1Z9X0	P12688	0.12606635071090047
A1Z9X0	P13185	0.05616113744075829
A1Z9X0	P13186	0.06137440758293839
A1Z9X0	P14681	0.031113744075829387
A1Z9X0	P15442	0.032582938388625596
A1Z9X0	P17157	0.0395260663507109
A1Z9X0	P18961	0.12748815165876778
A1Z9X0	P19454	0.03559241706161137
A1Z9X0	P21965	0.03232227488151659
A1Z9X0	P22204	0.07748815165876777
A1Z9X0	P22216	0.06113744075829384
A1Z9X0	P22517	0.045450236966824646
A1Z9X0	P23561	0.03886255924170616
A1Z9X0	P24583	0.13554502369668248
A1Z9X0	P24719	0.04090047393364929
A1Z9X0	P25333	0.03770142180094787
A1Z9X0	P25341	0.09928909952606635
A1Z9X0	P25389	0.05924170616113744
A1Z9X0	P25390	0.03895734597156398
A1Z9X0	P27466	0.043981042654028434
A1Z9X0	P27636	0.04834123222748815
A1Z9X0	P28708	0.045639810426540285
A1Z9X0	P31374	0.042985781990521325
A1Z9X0	P32328	0.07701421800947868
A1Z9X0	P32485	0.033933649289099525
A1Z9X0	P32490	0.0481042654028436
A1Z9X0	P32491	0.04881516587677725
A1Z9X0	P32562	0.06350710900473934
A1Z9X0	P32801	0.03056872037914692
A1Z9X0	P32944	0.03687203791469195
A1Z9X0	P34244	0.05568720379146919
A1Z9X0	P38070	0.08720379146919431
A1Z9X0	P38147	0.05071090047393365
A1Z9X0	P38615	0.029739336492890994
A1Z9X0	P38622	0.04016587677725118
A1Z9X0	P38691	0.03018957345971564
A1Z9X0	P38692	0.0509478672985782
A1Z9X0	P38990	0.03758293838862559
A1Z9X0	P38991	0.06113744075829384
A1Z9X0	P39009	0.04464454976303318
A1Z9X0	P40494	0.03495260663507109
A1Z9X0	P41808	0.03459715639810427
A1Z9X0	P43565	0.046279620853080565
A1Z9X0	P43637	0.04196682464454977
A1Z9X0	P48562	0.0476303317535545
A1Z9X0	P53104	0.045450236966824646
A1Z9X0	P53599	0.03725118483412322
A1Z9X0	P53739	0.1
A1Z9X0	P53894	0.08601895734597156
A1Z9X0	P54199	0.03853080568720379
A1Z9X0	Q01389	0.039431279620853084
A1Z9X0	Q01919	0.060900473933649286
A1Z9X0	Q03002	0.05308056872037915
A1Z9X0	Q03306	0.06113744075829384
A1Z9X0	Q03407	0.06658767772511848
A1Z9X0	Q03497	0.05
A1Z9X0	Q03533	0.0437914691943128
A1Z9X0	Q03957	0.036682464454976305
A1Z9X0	Q08217	0.04497630331753555
A1Z9X0	Q12100	0.030308056872037917
A1Z9X0	Q12152	0.05781990521327014
A1Z9X0	Q12236	0.07654028436018957
A1Z9X0	Q12263	0.05853080568720379
A1Z9X0	Q12310	0.02976303317535545
A1Z9X0	Q12469	0.0481042654028436
A1ZA92	Q07845	0.03184834123222749
A1ZAB5	Q03690	0.07938388625592417
A1ZAX1	P32497	0.1061611374407583
A1ZBE8	Q03921	0.07345971563981042
A2VEY9	P42836	0.035781990521327016
A2VEY9	Q04629	0.035876777251184835
A2VEY9	Q06551	0.06327014218009479
A2VEY9	Q12006	0.033933649289099525
A8DYP0	P05986	0.04011848341232227
A8DYP0	P06244	0.04170616113744075
A8DYP0	P06245	0.039063981042654024
A8DYP0	P06782	0.04048578199052133
A8DYP0	P11792	0.03802132701421801
A8DYP0	P12688	0.03137440758293839
A8DYP0	P13185	0.034218009478672984
A8DYP0	P13186	0.038981042654028436
A8DYP0	P18961	0.031658767772511844
A8DYP0	P22216	0.05616113744075829
A8DYP0	P22517	0.04651658767772512
A8DYP0	P23561	0.035225118483412324
