fly	rat	score
A0A0B4KGY6	Q80WA4	0.024898583730695326
A0A126GUP6	D3ZTE0	0.013436766066472138
A0A126GUP6	P06866	0.010134509999288306
A0A126GUP6	P19637	0.014233862358550993
A0A126GUP6	Q01177	0.015087894100064052
A1Z7A6	Q62848	0.010497473489431357
A1Z7A6	Q8CGU4	0.016226603088748133
A1Z7A6	Q9Z272	0.010084691481033378
A1Z7G7	O88917	0.02534695039498968
A1Z7T0	D3ZML2	0.015728417906198847
A1Z7T0	D4AE59	0.011515194648067753
A1Z7T0	E9PSL7	0.02177780940858302
A1Z7T0	F1LP90	0.012141484591843998
A1Z7T0	F1M0Z1	0.011565013166322682
A1Z7T0	F1M7Y5	0.040352999786492066
A1Z7T0	O08679	0.021279624226033734
A1Z7T0	O08815	0.015372571347235072
A1Z7T0	O08875	0.014447370293929257
A1Z7T0	O54874	0.025122767062842503
A1Z7T0	O88506	0.012333641733684435
A1Z7T0	O88764	0.015301402035442318
A1Z7T0	P05696	0.04369795744075155
A1Z7T0	P08413	0.014390434844495053
A1Z7T0	P09216	0.045833036794534196
A1Z7T0	P09217	0.04099352359262686
A1Z7T0	P11275	0.01485303537114796
A1Z7T0	P11730	0.01587075652978436
A1Z7T0	P15791	0.0157995872179916
A1Z7T0	P21708	0.009921002063910042
A1Z7T0	P27791	0.03330723791900932
A1Z7T0	P32577	0.011458259198633549
A1Z7T0	P35465	0.015301402035442318
A1Z7T0	P36506	0.012063198348871967
A1Z7T0	P47196	0.045263682300192155
A1Z7T0	P54645	0.01764998932460323
A1Z7T0	P63086	0.009728844922069603
A1Z7T0	P63319	0.0401394918511138
A1Z7T0	P67999	0.03643868763789054
A1Z7T0	P68182	0.0336630844779731
A1Z7T0	P68403	0.04512134367660665
A1Z7T0	P97756	0.015657248594406092
A1Z7T0	P97924	0.01060422745712049
A1Z7T0	Q01986	0.012276706284250231
A1Z7T0	Q04589	0.010960074016084264
A1Z7T0	Q06226	0.03643868763789054
A1Z7T0	Q09137	0.01636894171233364
A1Z7T0	Q62844	0.011266102056793112
A1Z7T0	Q62868	0.024695751192085974
A1Z7T0	Q62915	0.015159063411856808
A1Z7T0	Q62925	0.013023984058074159
A1Z7T0	Q63092	0.011764287239342397
A1Z7T0	Q63433	0.06430147320475411
A1Z7T0	Q63470	0.010853320048395131
A1Z7T0	Q63531	0.02505159775104975
A1Z7T0	Q63538	0.009842715820938012
A1Z7T0	Q63638	0.011636182478115435
A1Z7T0	Q63699	0.011785638032880222
A1Z7T0	Q64725	0.009735961853248879
