fly	mouse	score
A0A0B4K692	Q9JMI0	0.06198581560283688
A0A0B4K7J2	P34022	0.013627659574468083
A0A0B4K7J2	Q9ERU9	0.018333333333333323
A0A0B4K859	Q6ZQH8	0.03212765957446809
A0A0B4KGY6	P60335	0.011801418439716311
A0A0B4KGY6	Q3U0V1	0.010120567375886524
A0A0B4KGY6	Q61990	0.011886524822695034
A0A126GUP6	P11214	0.014099290780141844
A0A126GUP6	P19221	0.016312056737588652
A0A126GUP6	P20918	0.01524822695035461
A0A126GUP6	Q5S248	0.016453900709219857
A1YK02	Q8R480	0.0451063829787234
A1Z6E0	O88838	0.03489361702127659
A1Z6E0	Q8K3B1	0.02156028368794326
A1Z6H7	Q9QY81	0.06382978723404255
A1Z6K7	O88545	0.01002836879432624
A1Z6K7	Q9DCH4	0.026595744680851064
A1Z7A6	Q3UHD9	0.016170212765957447
A1Z7A6	Q4LDD4	0.010354609929078015
A1Z7A6	Q68FF6	0.00999290780141844
A1Z7A6	Q7SIG6	0.05343971631205674
A1Z7A6	Q7TN29	0.012184397163120569
A1Z7A6	Q8BXK8	0.015177304964539007
A1Z7A6	Q8R5G7	0.01122695035460993
A1Z7A6	Q8VHH5	0.015673758865248227
A1Z7A6	Q91VZ6	0.010872340425531916
A1Z7A6	Q99K28	0.01073758865248227
A1Z7A6	Q9EPJ9	0.010212765957446808
A1Z7A6	Q9JLQ2	0.010049645390070921
A1Z7A6	Q9QWY8	0.0792695035460993
A1Z7G7	O35161	0.0225531914893617
A1Z7G7	Q3UHD1	0.01730496453900709
A1Z7G7	Q80TR1	0.02529432624113475
A1Z7G7	Q80TS3	0.025113475177304966
A1Z7G7	Q80ZF8	0.01680851063829787
A1Z7G7	Q8CGM1	0.01377304964539007
A1Z7G7	Q8JZZ7	0.022702127659574467
A1Z7G7	Q9R0M0	0.021347517730496455
A1Z7T0	A2AAJ9	0.01172340425531915
A1Z7T0	A2ASS6	0.01397163120567376
A1Z7T0	A2CG49	0.010567375886524823
A1Z7T0	O08911	0.009858156028368795
A1Z7T0	O35099	0.013595744680851063
A1Z7T0	O35280	0.01122695035460993
A1Z7T0	O35495	0.011113475177304964
A1Z7T0	O35942	0.01177304964539007
A1Z7T0	O54784	0.01524822695035461
A1Z7T0	O54863	0.012567375886524823
A1Z7T0	O54967	0.010652482269503546
A1Z7T0	O54988	0.015390070921985816
A1Z7T0	O55047	0.011085106382978724
A1Z7T0	O55098	0.013950354609929078
A1Z7T0	O70126	0.02
A1Z7T0	O70405	0.013666666666666666
A1Z7T0	O70589	0.015177304964539007
A1Z7T0	O88351	0.012070921985815603
A1Z7T0	O88643	0.014971631205673758
A1Z7T0	O88904	0.010460992907801418
A1Z7T0	P00520	0.012319148936170213
A1Z7T0	P05132	0.03361702127659574
A1Z7T0	P05480	0.01097872340425532
A1Z7T0	P06240	0.010709219858156028
A1Z7T0	P07934	0.010787234042553193
A1Z7T0	P08103	0.011411347517730496
A1Z7T0	P08414	0.015531914893617021
A1Z7T0	P0C605	0.029858156028368794
A1Z7T0	P11798	0.01480141843971631
A1Z7T0	P16054	0.046453900709219856
A1Z7T0	P16056	0.010758865248226949
A1Z7T0	P16092	0.011304964539007093
A1Z7T0	P16879	0.01270212765957447
A1Z7T0	P18653	0.02304964539007092
A1Z7T0	P18654	0.024312056737588652
A1Z7T0	P20444	0.04326241134751773
A1Z7T0	P24788	0.010624113475177306
A1Z7T0	P25911	0.012836879432624114
A1Z7T0	P28652	0.014340425531914893
A1Z7T0	P28867	0.04326241134751773
A1Z7T0	P31750	0.045035460992907804
