human	fly	score
A0A0B4J2A2	P15425	0.018613242398408638
A0A0B4J2A2	P25007	0.032679738562091505
A0A0B4J2A2	Q9V3G3	0.027990906507530548
A0A0B4J2F2	A1Z7T0	0.016766126740551293
A0A0B4J2F2	A1Z9X0	0.019820971867007674
A0A0B4J2F2	A8DYP0	0.012627877237851663
A0A0B4J2F2	O61267	0.025859619210002842
A0A0B4J2F2	O61443	0.011764705882352941
A0A0B4J2F2	O61661	0.021241830065359478
A0A0B4J2F2	O62618	0.011764705882352941
A0A0B4J2F2	O97143	0.023017902813299233
A0A0B4J2F2	P00522	0.013022165387894288
A0A0B4J2F2	P00528	0.011224779766979255
A0A0B4J2F2	P05130	0.01619778346121057
A0A0B4J2F2	P08181	0.010450412048877521
A0A0B4J2F2	P11346	0.010969025291275929
A0A0B4J2F2	P12370	0.02230747371412333
A0A0B4J2F2	P13677	0.017618641659562374
A0A0B4J2F2	P13678	0.018897414038079
A0A0B4J2F2	P16912	0.020886615515771527
A0A0B4J2F2	P18106	0.011878374538221085
A0A0B4J2F2	P18431	0.013022165387894288
A0A0B4J2F2	P23572	0.014990053992611538
A0A0B4J2F2	P23573	0.014919011082693947
A0A0B4J2F2	P23647	0.02117078715544189
A0A0B4J2F2	P32865	0.012091503267973855
A0A0B4J2F2	P32866	0.012389883489627733
A0A0B4J2F2	P40417	0.010883773799374821
A0A0B4J2F2	P48609	0.014279624893435636
A0A0B4J2F2	P49071	0.01932367149758454
A0A0B4J2F2	P49657	0.010585393577720944
A0A0B4J2F2	P49762	0.010258596192100027
A0A0B4J2F2	P52304	0.020176186416595625
A0A0B4J2F2	P83099	0.017618641659562374
A0A0B4J2F2	P83100	0.014208581983518044
A0A0B4J2F2	P83101	0.012674055129298097
A0A0B4J2F2	P92208	0.012745098039215686
A0A0B4J2F2	Q00168	0.023017902813299233
A0A0B4J2F2	Q03042	0.01875532821824382
A0A0B4J2F2	Q03043	0.01967888604717249
A0A0B4J2F2	Q07407	0.011167945439045182
A0A0B4J2F2	Q09147	0.012148337595907928
A0A0B4J2F2	Q0KHQ5	0.01222648479681728
A0A0B4J2F2	Q23977	0.010208866155157715
A0A0B4J2F2	Q24145	0.012262006251776073
A0A0B4J2F2	Q24210	0.01932367149758454
A0A0B4J2F2	Q24324	0.013597612958226767
A0A0B4J2F2	Q7PLI7	0.023586246092639953
A0A0B4J2F2	Q8INB9	0.02188121625461779
A0A0B4J2F2	Q8T0S6	0.014208581983518044
A0A0B4J2F2	Q9NBK5	0.014350667803353225
A0A0B4J2F2	Q9V3I5	0.013643790849673203
A0A0B4J2F2	Q9V3Q6	0.0114947428246661
A0A0B4J2F2	Q9V3Z1	0.01228331912475135
A0A0B4J2F2	Q9V9J3	0.012560386473429953
A0A0B4J2F2	Q9VA38	0.013491048593350385
A0A0B4J2F2	Q9VBW3	0.0103154305200341
A0A0B4J2F2	Q9VEZ5	0.011139528275078149
A0A0B4J2F2	Q9VI13	0.014919011082693947
A0A0B4J2F2	Q9VKN7	0.021312872975277068
A0A0B4J2F2	Q9VP22	0.01490480250071043
A0A0B4J2F2	Q9VPC0	0.009690252912759306
A0A0B4J2F2	Q9VT57	0.009434498437055983
A0A0B4J2F2	Q9VWQ2	0.01584256891162262
A0A0B4J2F2	Q9VXE5	0.01875532821824382
A0A0B4J2F2	Q9W354	0.015061096902529127
A0AVT1	Q9V6U8	0.01562944018186985
A0FGR8	P21521	0.010446859903381641
A0FGR9	P21521	0.009530406365444728
A0JLT2	Q9VVL6	0.014137539073600455
A0JP26	Q9VBP3	0.009395424836601307
A0JP26	Q9VCA8	0.010458226768968456
A0JP26	Q9VUX2	0.010503694231315714
A0PJX0	P48451	0.0084256891162262
A0PJX0	Q24214	0.008596192100028417
A0PJY2	A1Z9R4	0.01085417258690916
A0PJY2	P07247	0.013235294117647059
A0PJY2	P07664	0.013405797101449275
A0PJY2	P07665	0.012855214549587952
A0PJY2	P08044	0.011591834801553472
A0PJY2	P08155	0.016408070474566636
A0PJY2	P08970	0.014393293549303781
A0PJY2	P13360	0.016588519465757318
A0PJY2	P15619	0.012826797385620918
A0PJY2	P19538	0.010642227905655017
A0PJY2	P20385	0.01375461778914464
A0PJY2	P23803	0.013718385905086674
A0PJY2	P25932	0.01211814435919295
A0PJY2	P28166	0.009893909254523065
A0PJY2	P39413	0.014543667708629346
A0PJY2	P39768	0.010408970351425594
A0PJY2	P51521	0.009981528843421426
A0PJY2	Q24266	0.00950909349246945
A0PJY2	Q7K0S9	0.010304774083546464
A0PJY2	Q8I7Z8	0.010659988633134412
A0PJY2	Q8ST83	0.01144264469072653
A0PJY2	Q9U405	0.009293596665719427
A0PJY2	Q9VDZ3	0.01384389504594108
A0PJY2	Q9VH70	0.013491048593350385
A0PJY2	Q9VHM6	0.01424410343847684
A0PJY2	Q9VI93	0.013581036279245999
A0PJY2	Q9VJN5	0.016268826371128163
A0PJY2	Q9VQ56	0.048877522023302075
A0PJY2	Q9VQS7	0.01680164819551009
A0PJY2	Q9VQU9	0.015823624135644598
A0PJY2	Q9VR05	0.016410912190963342
A0PK00	Q9U1M2	0.04418868996874112
A1A4S6	Q9V9S7	0.011736288718385904
A1A4S6	Q9VDS5	0.012475134981528843
A1A4S6	Q9VIS1	0.014421710713270815
A1A4S6	Q9VTU3	0.012446717817561806
A1A4S6	X2JDY8	0.037965331059960215
A1A5C7	Q95R48	0.015061096902529127
A1A5C7	Q961J5	0.01577152600170503
A1A5C7	Q9VCA2	0.018115942028985508
A1A5D9	Q8SWR2	0.014549587951122479
A1KZ92	A8DYP0	0.012858135202551236
A1KZ92	O97394	0.01391162262006252
A1KZ92	P15364	0.01178424268258028
A1KZ92	P16621	0.014228118783745382
A1KZ92	P20241	0.015916453537936914
A1KZ92	P34082	0.013261343184616841
A1KZ92	Q01603	0.040068201193520885
A1KZ92	Q08180	0.00951974992895709
A1KZ92	Q24372	0.011530264279624893
A1KZ92	Q6AWJ9	0.013015061096902529
A1KZ92	Q9I7U4	0.013019259087034022
A1KZ92	Q9VEG6	0.041275930662119924
A1KZ92	Q9VN14	0.012490409207161126
A1KZ92	Q9VS29	0.013263711281614096
A1KZ92	Q9VZZ4	0.1454248366013072
A1L390	P91621	0.014990053992611538
A1L3X0	Q9VHX7	0.03665814151747655
A1L453	B7YZU2	0.01619778346121057
