mouse	rat	score
A2A432	B5DF89	0.047063253012048195
A2A5R2	D4A631	0.2561652861445783
A2A5R2	P63035	0.017036897590361446
A2A5R2	P97696	0.017507530120481927
A2A5R2	Q7TSU1	0.34506777108433734
A2A5Z6	F1LP64	0.012424698795180723
A2A690	O70511	0.011419630938526836
A2A690	P0C6S7	0.007231268825301205
A2A690	P62775	0.0058734939759036145
A2A690	Q10728	0.007395990210843374
A2A690	Q2IBD4	0.0068610379016064245
A2A690	Q8VHK2	0.007713667168674699
A2A690	Q99J82	0.006951242469879518
A2A690	Q9EQG6	0.010717087098393573
A2A863	P49134	0.039391942771084335
A2A863	Q05546	0.007068900602409638
A2A8L1	Q8K1P7	0.036850527108433735
A2A8L5	B2GV87	0.05369917168674699
A2A8L5	O08617	0.01656626506024096
A2A8L5	O35158	0.006652390813253012
A2A8L5	O55005	0.01151480923694779
A2A8L5	P04157	0.02395519578313253
A2A8L5	P04937	0.008163158586727863
A2A8L5	P07722	0.006941829819277108
A2A8L5	P13596	0.008537274096385541
A2A8L5	P20417	0.01642507530120482
A2A8L5	P41499	0.017836972891566265
A2A8L5	P97685	0.011085749246987955
A2A8L5	P97924	0.00802899096385542
A2A8L5	Q03348	0.05798192771084337
A2A8L5	Q05546	0.0083019578313253
A2A8L5	Q62813	0.006217055722891566
A2A8L5	Q63155	0.01609563253012048
A2A8L5	Q63198	0.009820924322289157
A2A8L5	Q63259	0.017413403614457833
A2A8L5	Q63638	0.007421875000000001
A2A8L5	Q64604	0.3657756024096386
A2A8L5	Q9R044	0.006833584337349397
A2A935	Q01714	0.007144201807228916
A2A935	Q02975	0.00821085917094954
A2A935	Q07120	0.007906626506024098
A2AAJ9	D3ZML2	0.009553840361445784
A2AAJ9	D4AE59	0.008353727409638554
A2AAJ9	E9PSL7	0.008381965361445783
A2AAJ9	F1M0Z1	0.013177710843373493
A2AAJ9	F1M7Y5	0.007530120481927711
A2AAJ9	O08679	0.010824548192771084
A2AAJ9	O08815	0.01195406626506024
A2AAJ9	O08875	0.011059864457831326
A2AAJ9	O35158	0.007155967620481928
A2AAJ9	O54874	0.008697289156626507
A2AAJ9	O55005	0.008295173567075318
A2AAJ9	O88506	0.00817488704819277
A2AAJ9	O88764	0.015366152108433735
A2AAJ9	P05696	0.008118411144578314
A2AAJ9	P08413	0.010335090361445781
A2AAJ9	P09216	0.0078125
A2AAJ9	P09217	0.0075842432228915655
A2AAJ9	P11275	0.010636295180722892
A2AAJ9	P11345	0.006640624999999999
A2AAJ9	P11730	0.011036332831325301
A2AAJ9	P13596	0.008258347920904399
A2AAJ9	P15791	0.010721009036144577
A2AAJ9	P18265	0.007501882530120482
A2AAJ9	P21708	0.0071583207831325294
A2AAJ9	P27791	0.008532567771084338
A2AAJ9	P35465	0.007268919427710843
A2AAJ9	P36506	0.006857115963855421
A2AAJ9	P47196	0.008631400602409639
A2AAJ9	P49186	0.006381777108433735
A2AAJ9	P49187	0.006546498493975905
A2AAJ9	P53767	0.007621893825301205
A2AAJ9	P54645	0.009516189759036146
A2AAJ9	P63086	0.0072853915662650605
A2AAJ9	P63319	0.008003106174698797
A2AAJ9	P67999	0.009167921686746988
A2AAJ9	P68182	0.00870199548192771
A2AAJ9	P68403	0.008073701054216868
A2AAJ9	P97685	0.006667294176706829
A2AAJ9	P97756	0.009836219879518071
A2AAJ9	P97874	0.006471197289156626
A2AAJ9	P97924	0.013743881777108436
A2AAJ9	Q01986	0.007384224397590362
A2AAJ9	Q03114	0.006306475903614458
A2AAJ9	Q04589	0.007730139307228916
A2AAJ9	Q06226	0.008447853915662652
A2AAJ9	Q09137	0.009582078313253011
A2AAJ9	Q62718	0.006407661897590361
A2AAJ9	Q62813	0.006468059738955823
A2AAJ9	Q62868	0.008045463102409639
A2AAJ9	Q62915	0.009949171686746989
A2AAJ9	Q62925	0.008073701054216868
A2AAJ9	Q63092	0.009744446536144579
A2AAJ9	Q63155	0.007486250806798621
A2AAJ9	Q63198	0.007539645187894431
A2AAJ9	Q63433	0.007668957078313253
A2AAJ9	Q63454	0.006541792168674699
A2AAJ9	Q63470	0.006541792168674699
A2AAJ9	Q63531	0.01128812123493976
A2AAJ9	Q63538	0.007699548192771084
A2AAJ9	Q63638	0.009741917835151085
A2AAJ9	Q63699	0.00913968373493976
A2AAJ9	Q64604	0.008139589608433735
A2AAJ9	Q66HA1	0.00832078313253012
A2AAJ9	Q7TPK6	0.006852409638554217
A2AAJ9	Q7TT49	0.008339608433734939
A2AAJ9	Q810W7	0.011059864457831326
A2AAJ9	Q8VHF0	0.010659826807228916
A2AAJ9	Q91XS8	0.013695406626506024
A2AAJ9	Q9JIH7	0.007125376506024097
A2AAJ9	Q9JLS3	0.007906626506024098
A2AAJ9	Q9QY78	0.007497176204819276
A2AAJ9	Q9R012	0.010965737951807228
A2AAJ9	Q9Z2A6	0.00675828313253012
A2AC93	Q62871	0.00941265060240964
A2AFR3	P70600	0.00625
A2AHC3	D3Z8E6	0.29527484939759036
A2AHJ4	O35142	0.006541792168674699
A2AHJ4	P62882	0.006739457831325301
A2AHJ4	P63004	0.006833584337349398
A2AHJ4	Q9JMJ4	0.007144201807228916
A2AJK6	Q8K1P7	0.03694465361445783
A2AL36	Q4G017	0.006871234939759036
A2AMM0	Q66H98	0.013177710843373495
A2AN08	Q2TL32	1.0
A2APF3	Q02975	0.013262424698795182
A2APF3	Q07120	0.007758847891566265
A2AQ25	Q9QXY2	0.05031061746987952
A2ARP9	P15389	0.0069959525602409645
A2ARP9	P27732	0.0065982680722891564
A2ARP9	P54282	0.007125376506024095
A2ARP9	Q02294	0.007523060993975903
A2ARV4	G3V928	0.03749238023522665
A2ARV4	P98158	0.8565982680722891
A2ARV4	Q9WVH8	0.006433546686746988
